Hacker News
Rank,Title,Url_Link,Points,Author,Time_post,Comments,max_upvote
1.,Web Browser Engineering,https://browser.engineering/index.html,99 points,MrVandemar,1 hour ago,5 comments,0
2.,Short films by Lillian F. Schwartz (1927-2024),http://lillian.com/films/,9 points,kiisupai,13 minutes ago,1 comment,0
3.,Busy Status Bar,https://busy.bar/?hn,1164 points,aleksi,20 hours ago,368 comments,0
4.,Cheating alleged after men's world conker champion found with steel chestnut,https://www.theguardian.com/sport/2024/oct/14/cheating-alleged-after-mens-world-conker-champion-found-with-steel-chestnut,267 points,notamy,8 hours ago,338 comments,0
5.,Turn your Android phone into a modern ham radio transceiver,https://www.kv4p.com/,383 points,thcipriani,19 hours ago,129 comments,0
6.,Drawing Graphics on Apple Vision with the Metal Rendering API,https://github.com/gnikoloff/drawing-graphics-on-apple-vision-with-metal-rendering-api,36 points,georginikolov,4 hours ago,4 comments,0
7.,Commonly used arm positions can overestimate blood pressure readings: study,https://medicalxpress.com/news/2024-10-commonly-arm-positions-substantially-overestimate.html,254 points,wglb,17 hours ago,172 comments,0
8.,Gosub – An open-source browser engine,https://github.com/gosub-io/gosub-engine,293 points,jaytaph,16 hours ago,137 comments,0
9.,A History of Microwave Ovens,https://taylor.town/history-of-microwave-ovens,41 points,surprisetalk,6 hours ago,11 comments,0
10.,Splitting engineering teams into defense and offense,https://www.greptile.com/blog/how-we-engineer,113 points,dakshgupta,15 hours ago,72 comments,0
11.,The three-page paper that shook philosophy: Gettiers in software engineering,https://jsomers.net/blog/gettiers,209 points,FigurativeVoid,17 hours ago,125 comments,0
12.,'Islands' of regularity discovered in the famously chaotic three-body problem,https://phys.org/news/2024-10-islands-regularity-famously-chaotic-body.html,21 points,pseudolus,3 hours ago,8 comments,0
13.,Show HN: X11 tool to share a screen area in any video meeting,https://github.com/splitbrain/clipscreen,279 points,splitbrain,22 hours ago,131 comments,0
14.,"Play 3.0 mini – A lightweight, reliable, cost-efficient Multilingual TTS model",https://play.ht/news/introducing-play-3-0-mini/,202 points,amrrs,16 hours ago,62 comments,0
15.,Extracting financial disclosure and police reports with OpenAI Structured Output,https://gist.github.com/dannguyen/faaa56cebf30ad51108a9fe4f8db36d8,197 points,danso,21 hours ago,53 comments,0
16.,DeepSeek: Advancing theorem proving in LLMs through large-scale synthetic data,https://arxiv.org/abs/2405.14333,164 points,hhs,19 hours ago,47 comments,0
17.,Show HN: Vortex – a high-performance columnar file format,https://github.com/spiraldb/vortex,194 points,gatesn,18 hours ago,46 comments,0
18.,The Physics of Magic Windows (2021),https://mattferraro.dev/posts/caustics-engineering,117 points,mhb,12 hours ago,7 comments,0
19.,Linear Variable Differential Transformer (LVDT) Basics,https://www.te.com/en/products/sensors/position-sensors/resources/lvdt-tutorial.html,63 points,userbinator,14 hours ago,15 comments,0
20.,Can a biologist fix a radio? What I learned while studying apoptosis (2002) [pdf],https://www.cell.com/cancer-cell/pdf/S1535-6108(02)00133-2.pdf,58 points,bilsbie,13 hours ago,16 comments,0
21.,'Islands' of regularity discovered in the famously chaotic three-body problem,https://phys.org/news/2024-10-islands-regularity-famously-chaotic-body.html,5 points,8bitsrule,3 hours ago,2 comments,0
22.,"PayloadCMS: Open-Source, Fullstack Next.js Framework",https://github.com/payloadcms/payload,159 points,stefankuehnel,17 hours ago,50 comments,0
23.,Routine dental X-rays are not backed by evidence,https://arstechnica.com/health/2024/10/do-you-really-need-those-routine-dental-x-rays-probably-not/,189 points,keithly,14 hours ago,183 comments,0
24.,Google commits to buying power generated by nuclear-energy startup Kairos Power,https://www.wsj.com/business/energy-oil/google-nuclear-power-artificial-intelligence-87966624,504 points,atomic128,16 hours ago,379 comments,0
25.,Zamba2-7B,https://www.zyphra.com/post/zamba2-7b,250 points,dataminer,12 hours ago,55 comments,0
26.,The deep-sea 'emergency service' that keeps the internet running,https://www.bbc.com/future/article/20241014-the-deep-sea-emergency-service-that-keeps-the-internet-running,9 points,rdl,1 hour ago,discuss,0
27.,New images show state of preservation of Ernest Shackleton's ship,https://www.theguardian.com/world/2024/oct/10/images-remarkable-preservation-ernest-shackleton-ship-endurance,90 points,rmason,19 hours ago,35 comments,0
28.,The Wes Cook Archive,https://wescook.art,64 points,zdw,16 hours ago,8 comments,0
29.,Remains of an ancient Greek structure found in Croatia,https://arkeonews.net/remains-of-a-3500-year-old-settlement-and-massive-ancient-greek-structure-found-in-croatia/,95 points,taubek,15 hours ago,27 comments,0
30.,Sound Lab – A Simple Analogue Synthesiser,http://www.technoblogy.com/show?4MGW,83 points,chrisjj,18 hours ago,11 comments,0
